5.000000000000000278e-02,1.000000000000000000e+00,1.000000000000000000e+00,4.516129032258064391e-01,1.000000000000000000e+00,4.516129032258064391e-01
1.000000000000000056e-01,8.823529411764705621e-01,1.000000000000000000e+00,4.827586206896551935e-01,1.000000000000000000e+00,5.161290322580645018e-01
1.499999999999999944e-01,6.470588235294117974e-01,1.000000000000000000e+00,5.600000000000000533e-01,1.000000000000000000e+00,6.451612903225806273e-01
2.000000000000000111e-01,5.294117647058823595e-01,1.000000000000000000e+00,6.086956521739130821e-01,1.000000000000000000e+00,7.096774193548387455e-01
2.500000000000000000e-01,4.117647058823529216e-01,1.000000000000000000e+00,6.666666666666666297e-01,1.000000000000000000e+00,7.741935483870967527e-01
2.999999999999999889e-01,2.352941176470588203e-01,9.285714285714286031e-01,7.647058823529411242e-01,9.285714285714286031e-01,8.387096774193548709e-01
3.499999999999999778e-01,2.352941176470588203e-01,9.285714285714286031e-01,7.647058823529411242e-01,9.285714285714286031e-01,8.387096774193548709e-01
4.000000000000000222e-01,2.352941176470588203e-01,9.285714285714286031e-01,7.647058823529411242e-01,9.285714285714286031e-01,8.387096774193548709e-01
4.500000000000000111e-01,2.352941176470588203e-01,9.285714285714286031e-01,7.647058823529411242e-01,9.285714285714286031e-01,8.387096774193548709e-01
5.000000000000000000e-01,2.352941176470588203e-01,8.571428571428570953e-01,7.500000000000000000e-01,8.571428571428570953e-01,8.064516129032257563e-01
5.500000000000000444e-01,2.352941176470588203e-01,7.857142857142856984e-01,7.333333333333332815e-01,7.857142857142856984e-01,7.741935483870967527e-01
5.999999999999999778e-01,2.352941176470588203e-01,7.142857142857143016e-01,7.142857142857143016e-01,7.142857142857143016e-01,7.419354838709677491e-01
6.500000000000000222e-01,1.764705882352941291e-01,7.142857142857143016e-01,7.692307692307692735e-01,7.142857142857143016e-01,7.741935483870967527e-01
6.999999999999999556e-01,1.764705882352941291e-01,6.428571428571429047e-01,7.500000000000000000e-01,6.428571428571429047e-01,7.419354838709677491e-01
7.500000000000000000e-01,1.764705882352941291e-01,5.714285714285713969e-01,7.272727272727272929e-01,5.714285714285713969e-01,7.096774193548387455e-01
8.000000000000000444e-01,1.176470588235294101e-01,3.571428571428571508e-01,7.142857142857143016e-01,3.571428571428571508e-01,6.451612903225806273e-01
8.499999999999999778e-01,1.176470588235294101e-01,3.571428571428571508e-01,7.142857142857143016e-01,3.571428571428571508e-01,6.451612903225806273e-01
9.000000000000000222e-01,5.882352941176470507e-02,2.142857142857142738e-01,7.500000000000000000e-01,2.142857142857142738e-01,6.129032258064516236e-01
9.499999999999999556e-01,0.000000000000000000e+00,1.428571428571428492e-01,1.000000000000000000e+00,1.428571428571428492e-01,6.129032258064516236e-01
